City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Galesburg,40.9478,-90.3712,34.0,100,90,11.5,US,1612067005
Vardø,70.3705,31.1107,25.86,95,100,19.04,NO,1612067005
Albany,42.6001,-73.9662,10.0,57,14,3.98,US,1612066917
Cabo San Lucas,22.8909,-109.9124,64.99,81,57,3.31,MX,1612067006
Arraial do Cabo,-22.9661,-42.0278,76.44,82,21,25.77,BR,1612067006
Shingū,33.7333,135.9833,53.6,47,40,16.11,JP,1612067006
Codrington,-38.2667,141.9667,66.04,58,0,12.01,AU,1612066731
Hofn,64.2539,-15.2082,24.1,84,0,15.35,IS,1612067006
Cloquet,46.7216,-92.4594,28.0,93,90,5.75,US,1612067006
Lompoc,34.6391,-120.4579,46.0,93,1,3.0,US,1612067006
Hilo,19.7297,-155.09,75.2,69,75,4.61,US,1612066946
Longyearbyen,78.2186,15.6401,-5.8,65,20,19.57,SJ,1612066825
Pisco,-13.7,-76.2167,69.8,78,0,12.66,PE,1612066719
Inírida,3.8653,-67.9239,76.96,77,42,2.28,CO,1612067007
Kūhdasht,33.535,47.6061,33.98,85,22,1.72,IR,1612067007
Azare,11.6765,10.1948,62.13,29,0,7.05,NG,1612067007
Bambous Virieux,-20.3428,57.7575,82.99,78,75,8.05,MU,1612067008
Barrow,71.2906,-156.7887,-16.6,69,90,4.61,US,1612067008
Olbia,40.9214,9.4856,55.4,62,0,16.11,IT,1612067008
Healdsburg,38.6105,-122.8692,48.0,71,1,3.44,US,1612067008
Saint-Philippe,-21.3585,55.7679,86.0,54,0,3.44,RE,1612067008
Totness,5.8833,-56.3167,77.2,90,94,13.29,SR,1612067008
Port Elizabeth,-33.918,25.5701,57.2,94,0,4.61,ZA,1612067008
Bandar-e Lengeh,26.5579,54.8807,66.74,68,0,7.34,IR,1612067008
Kuliyapitiya,7.4688,80.0401,84.2,74,20,8.05,LK,1612067009
Santa Vitória,-18.8386,-50.1214,75.76,68,99,0.4,BR,1612067009
Kudahuvadhoo,2.6708,72.8944,81.52,76,21,13.4,MV,1612067009
Lebu,-37.6167,-73.65,55.67,87,6,12.64,CL,1612066721
Salalah,17.0151,54.0924,68.0,68,75,5.75,OM,1612067009
Novyy Yegorlyk,46.3927,41.8716,35.74,92,96,14.41,RU,1612067009
San Cristobal,7.7669,-72.225,64.29,70,97,1.59,VE,1612066732
Porto-Novo,6.4965,2.6036,82.4,83,40,4.61,BJ,1612066755
Mataura,-46.1927,168.8643,74.62,35,97,4.21,NZ,1612066713
Airai,-8.9266,125.4092,65.8,99,100,7.74,TL,1612067010
New Norfolk,-42.7826,147.0587,73.99,34,8,3.0,AU,1612067010
Tiksi,71.6872,128.8694,-26.82,86,100,4.27,RU,1612067010
Butaritari,3.0707,172.7902,81.52,79,52,18.25,KI,1612067011
Tasiilaq,65.6145,-37.6368,17.6,53,90,5.75,GL,1612067011
Port Alfred,-33.5906,26.891,64.0,92,17,3.44,ZA,1612067011
Kapaa,22.0752,-159.319,73.4,83,40,17.27,US,1612067011
Christchurch,-43.5333,172.6333,64.99,68,0,24.16,NZ,1612066944
Kavieng,-2.5744,150.7967,83.37,73,99,13.31,PG,1612067011
Longonjo,-12.9067,15.2533,58.62,89,100,1.74,AO,1612066815
Castro,-24.7911,-50.0119,65.17,97,100,5.75,BR,1612067011
Carnarvon,-24.8667,113.6333,91.4,52,0,14.97,AU,1612067012
Laas,46.6166,10.7002,36.0,100,90,5.75,IT,1612067012
Busselton,-33.65,115.3333,90.0,35,0,4.0,AU,1612066572
Qaanaaq,77.484,-69.3632,-4.54,84,99,0.96,GL,1612067012
Muravlenko,63.7898,74.523,-14.82,88,100,17.16,RU,1612067012
Chokurdakh,70.6333,147.9167,-30.21,85,0,8.63,RU,1612067012
Bredasdorp,-34.5322,20.0403,61.0,92,0,6.29,ZA,1612067012
Vanimo,-2.6741,141.3028,86.31,63,96,11.59,PG,1612067013
Charters Towers,-20.1,146.2667,87.46,47,91,10.45,AU,1612067013
Koumac,-20.5667,164.2833,82.02,63,43,11.3,NC,1612067013
Tromsø,69.6496,18.957,21.99,86,20,2.15,NO,1612066754
Zaragoza,41.6561,-0.8773,50.0,76,40,9.22,ES,1612066963
George Town,5.4112,100.3354,87.01,54,20,6.91,MY,1612067013
Nikolskoye,59.7035,30.7861,24.8,86,75,2.24,RU,1612066717
Atuona,-9.8,-139.0333,79.2,75,72,17.05,PF,1612067013
Narsaq,60.9167,-46.05,39.2,30,75,31.07,GL,1612067013
Zhangjiakou,40.81,114.8794,30.43,75,0,2.68,CN,1612067014
Thompson,55.7435,-97.8558,14.0,92,90,1.68,CA,1612066887
Great Yarmouth,52.6083,1.7305,37.99,80,23,8.05,GB,1612067014
São José da Coroa Grande,-8.8978,-35.1478,77.58,82,100,7.34,BR,1612067014
Goundam,16.4145,-3.6708,65.91,23,93,8.9,ML,1612067014
Touros,-5.1989,-35.4608,75.2,88,40,3.44,BR,1612066777
Saskylakh,71.9167,114.0833,-33.12,83,100,9.35,RU,1612066754
Lima,-12.0432,-77.0282,73.0,78,0,12.66,PE,1612067015
Port Lincoln,-34.7333,135.8667,69.46,58,73,10.89,AU,1612066819
Khatanga,71.9667,102.5,-47.58,78,43,0.98,RU,1612066799
Saint-Augustin,51.226,-58.6502,26.6,92,99,17.09,CA,1612067015
Kushima,31.4583,131.2333,57.2,35,20,10.36,JP,1612067015
Sandy Bay,-42.913,147.3532,73.99,52,40,14.97,AU,1612067015
Araguaçu,-12.9306,-49.8264,73.87,78,98,0.69,BR,1612067015
Avarua,-21.2078,-159.775,80.6,83,75,4.61,CK,1612066938
Saldanha,-33.0117,17.9442,63.43,93,7,4.23,ZA,1612066943
Krasnoarmeyskiy,47.0114,42.2072,33.73,93,54,17.2,RU,1612067016
Watertown,42.3709,-71.1828,14.0,56,1,9.22,US,1612066893
San Clemente,33.427,-117.612,53.01,89,30,5.86,US,1612066952
Lubango,-14.9172,13.4925,59.5,85,91,1.97,AO,1612067016
Puerto Ayora,-0.7393,-90.3518,78.01,91,38,8.99,EC,1612067016
Hermanus,-34.4187,19.2345,61.0,92,1,9.42,ZA,1612067016
Linxia Chengguanzhen,35.6003,103.2064,30.74,74,100,4.16,CN,1612067016
Broken Hill,-31.95,141.4333,87.8,25,25,13.8,AU,1612067017
Houma,29.5958,-90.7195,68.0,82,90,9.22,US,1612066747
Mogadishu,2.0371,45.3438,75.13,81,0,15.64,SO,1612066904
Port-Gentil,-0.7193,8.7815,77.09,80,100,6.06,GA,1612067017
Lodwar,3.1191,35.5973,73.85,43,49,4.34,KE,1612067017
Pātūr,20.45,76.9333,72.12,19,0,8.03,IN,1612067017
Saint George,37.1041,-113.5841,41.0,70,1,2.82,US,1612067017
Wadi Maliz,36.4681,8.5495,53.6,82,40,4.61,TN,1612067017
Yellowknife,62.456,-114.3525,-18.0,76,1,4.61,CA,1612067018
Ikungi,-5.1333,34.7667,59.05,97,92,4.47,TZ,1612067018
Bengkulu,-3.8004,102.2655,75.79,89,100,2.71,ID,1612066923
Ribeira Grande,38.5167,-28.7,63.0,94,99,19.46,PT,1612067018
Ifanadiana,-21.3,47.6333,72.41,90,21,0.27,MG,1612067018
Hithadhoo,-0.6,73.0833,81.82,79,42,14.05,MV,1612067018
Silao,20.9333,-101.4333,59.0,38,1,2.82,MX,1612067018
Stephenville,32.2207,-98.2023,60.01,29,1,6.91,US,1612067018
Bandarbeyla,9.4942,50.8122,73.74,70,96,15.99,SO,1612066747
Burgeo,47.6167,-57.6152,28.29,92,66,9.46,CA,1612067019
Newport,51.5877,-2.9984,34.0,90,59,1.99,GB,1612066955
Verkhnevilyuysk,63.4453,120.3167,-43.62,78,65,2.19,RU,1612066794
Jinchang,38.4953,102.1739,32.07,58,0,1.59,CN,1612066940
Camacha,33.0833,-16.3333,55.4,88,0,6.91,PT,1612067019
Galle,6.0367,80.217,81.91,73,2,2.48,LK,1612067019
Atar,20.5169,-13.0499,64.51,26,21,8.77,MR,1612066752
Westport,41.1415,-73.3579,21.2,49,1,5.75,US,1612067019
Launceston,-41.45,147.1667,70.0,55,90,6.91,AU,1612067020
Fangshan,39.6983,115.9925,36.0,58,0,1.01,CN,1612067020
Mayo,38.8876,-76.5119,32.0,69,1,3.44,US,1612066734
Djebeniana,35.035,10.9081,62.6,51,0,4.61,TN,1612067020
Iqaluit,63.7506,-68.5145,-11.2,77,1,13.8,CA,1612067020
Vestmannaeyjar,63.4427,-20.2734,30.92,94,95,16.73,IS,1612067020
Turiaçu,-1.6633,-45.3717,75.47,92,100,3.58,BR,1612067020
La Rioja,42.25,-2.5,37.99,91,84,4.0,ES,1612067020
Chara,56.9064,118.2631,-24.47,81,100,1.86,RU,1612067021
Greeley,40.4233,-104.7091,37.0,51,1,14.97,US,1612066843
Eureka,40.8021,-124.1637,53.01,87,90,4.61,US,1612067021
Ensley,30.5188,-87.2728,64.99,82,90,11.5,US,1612067021
Philadelphia,39.9523,-75.1638,30.0,46,40,2.84,US,1612066735
Tuatapere,-46.1333,167.6833,64.89,53,100,0.76,NZ,1612067021
Noumea,-22.2763,166.4572,82.0,69,90,19.57,NC,1612067021
Kaitangata,-46.2817,169.8464,64.99,76,100,7.0,NZ,1612067022
Nässjö,57.6531,14.6968,12.2,92,2,5.75,SE,1612067022
Vao,-22.6667,167.4833,76.51,79,83,21.94,NC,1612067022
Qasigiannguit,68.8193,-51.1922,8.6,66,90,2.3,GL,1612067022
Kuril'sk,45.2333,147.8833,19.24,95,100,22.77,RU,1612067022
Vila Franca do Campo,37.7167,-25.4333,63.0,88,75,10.36,PT,1612067022
Soma,39.1855,27.6094,35.6,100,19,2.35,TR,1612067023
Olinda,-8.0089,-34.8553,78.8,69,40,5.75,BR,1612066814
Cap-aux-Meules,47.3821,-61.8597,26.6,86,100,17.27,CA,1612067023
Provideniya,64.3833,-173.3,-8.91,84,100,16.64,RU,1612067023
Artyom,40.4723,50.333,42.8,87,90,11.5,AZ,1612067023
Vila Velha,-20.3297,-40.2925,77.0,83,20,4.61,BR,1612067024
Itarema,-2.9248,-39.9167,78.26,85,100,9.13,BR,1612067024
Mae Tha,18.4646,99.1403,91.0,73,20,1.14,TH,1612067024
Shellbrook,53.2168,-106.4011,15.8,86,90,2.3,CA,1612067024
Bavly,54.393,53.2602,22.68,98,100,8.12,RU,1612067024
Kimbe,-5.5502,150.1429,79.52,86,100,5.97,PG,1612067024
Paignton,50.4357,-3.5679,41.0,90,98,7.0,GB,1612067024
Perdika,39.3689,20.3039,55.4,76,40,10.36,GR,1612067024
Tubualá,9.5167,-79.0333,75.99,88,20,2.3,PA,1612067025
Tigil',57.8,158.6667,0.01,92,96,10.11,RU,1612067025
Barcelos,41.5388,-8.6151,53.6,94,75,4.61,PT,1612066840
Severo-Kuril'sk,50.6789,156.125,24.46,95,100,35.46,RU,1612067025
Ixtapa,20.7,-105.2,69.01,88,1,3.2,MX,1612067025
Kiunga,-6.1219,141.2906,89.83,62,59,1.95,PG,1612067025
Itapora,-22.0799,-54.7874,71.65,94,61,5.57,BR,1612067025
Bayan,46.0833,127.4,-2.7,88,100,8.28,CN,1612067026
Matane,48.8286,-67.522,12.2,67,39,6.91,CA,1612067026
Lüderitz,-26.6481,15.1594,63.23,69,0,15.9,NA,1612067026
Amapá,1.0,-52.0,71.31,99,64,2.13,BR,1612067026
Malakal,9.5334,31.6605,70.47,25,39,7.34,SS,1612067026
Ejura,7.3856,-1.3562,76.24,79,99,3.87,GH,1612067026
Cutervo,-6.379,-78.8157,51.35,100,56,3.42,PE,1612067026
Kangaatsiaq,68.3065,-53.4641,2.79,95,99,7.09,GL,1612067026
Sudova Vyshnya,49.7889,23.3722,26.6,86,90,4.47,UA,1612067027
Pinawa,50.1489,-95.8811,21.7,98,100,1.72,CA,1612066992
Abéché,13.8292,20.8324,67.32,23,0,13.71,TD,1612067027
Fuling,29.7022,107.3919,50.41,80,100,1.03,CN,1612067027
Khani,41.9563,42.9566,46.4,57,75,12.66,GE,1612067027
Cadereyta,25.5833,-99.9833,75.2,49,1,8.05,MX,1612067027
Mandiana,10.6333,-8.6833,67.55,23,36,4.83,GN,1612067027
Geraldton,-28.7667,114.6,102.2,22,0,16.11,AU,1612067027
Gazojak,41.1875,61.4036,40.35,64,83,9.71,TM,1612067028
Cherskiy,68.75,161.3,-34.67,83,0,2.89,RU,1612066736
Kavaratti,10.5669,72.642,81.1,72,19,10.58,IN,1612066779
Fukuechō,32.6881,128.8419,55.4,62,40,10.36,JP,1612067028
Edgewater,28.9889,-80.9023,60.8,82,40,5.75,US,1612067028
Zhalantun,48.0,122.7167,-6.56,85,100,3.53,CN,1612067028
Rawson,-43.3002,-65.1023,60.85,59,38,11.79,AR,1612066757
Verkhnyaya Inta,65.9811,60.3094,-1.19,89,100,9.73,RU,1612067028
Dandong,40.1292,124.3947,25.63,89,98,3.22,CN,1612066785
Hamilton,39.1834,-84.5333,33.8,86,90,5.75,US,1612066834
Umba,66.6871,34.3429,13.96,96,100,5.82,RU,1612067029
Anacortes,48.5126,-122.6127,48.2,87,90,14.97,US,1612066852
Aleksandrov Gay,50.147,48.5704,20.75,96,6,10.49,RU,1612066872
Esim,4.8699,-2.2405,78.46,89,34,7.72,GH,1612067029
Thinadhoo,0.5333,72.9333,81.77,77,13,13.35,MV,1612066806
Broome,42.2506,-75.833,10.4,85,1,1.36,US,1612066815
Camargo,27.6667,-105.1667,59.56,35,32,9.78,MX,1612067029
Isangel,-19.55,169.2667,80.6,83,90,4.61,VU,1612067030
Rūdbār,30.15,62.6,62.67,31,1,5.55,AF,1612067030
Najrān,17.4924,44.1277,57.2,33,0,4.61,SA,1612067030
Bud,39.447,-86.1758,33.01,97,100,18.23,US,1612067030
Carbonia,39.1672,8.5222,52.0,87,40,8.05,IT,1612067030
Impfondo,1.6381,18.0667,71.64,93,62,2.93,CG,1612067030
Turukhansk,65.8167,87.9833,-29.85,77,33,5.61,RU,1612066873
Usinsk,65.9939,57.5281,-0.56,92,100,11.01,RU,1612066999
Clyde River,70.4692,-68.5914,-0.4,78,90,2.28,CA,1612067006
Hūn,29.1268,15.9477,56.57,38,0,5.97,LY,1612067031
Halifax,44.6453,-63.5724,17.6,67,76,6.91,CA,1612066923
Whitley Bay,55.0397,-1.4471,37.0,86,75,1.14,GB,1612067031
Safi,32.2994,-9.2372,59.2,86,79,9.19,MA,1612067031
Nyalikungu,-3.1833,33.7833,61.95,89,84,5.75,TZ,1612067031
Hong Kong,22.2855,114.1577,73.4,38,0,8.05,HK,1612066922
Acapulco de Juárez,16.8634,-99.8901,78.8,89,1,2.3,MX,1612067031
Slave Lake,55.2834,-114.769,5.0,85,1,9.22,CA,1612067032
Polunochnoye,60.8697,60.4153,-12.71,90,100,0.81,RU,1612067032
Alofi,-19.0595,-169.9187,78.8,89,100,8.05,NU,1612067032
Manta,-0.95,-80.7333,77.0,88,90,3.44,EC,1612066880
Coquimbo,-29.9533,-71.3436,66.2,82,90,3.44,CL,1612067032
Cabedelo,-6.9811,-34.8339,77.0,88,40,4.61,BR,1612067032
Belize,17.25,-88.75,70.0,71,100,1.92,BZ,1612067032
Shirokiy,49.758,129.523,-17.27,86,88,4.79,RU,1612067033
São Filipe,14.8961,-24.4956,73.94,62,96,11.39,CV,1612067033
Port Blair,11.6667,92.75,83.43,67,17,12.3,IN,1612066899
Port Hardy,50.6996,-127.4199,41.0,93,90,3.44,CA,1612067033
Ilhéus,-14.7889,-39.0494,78.8,89,40,2.3,BR,1612067033
Agropoli,40.3469,14.9966,55.99,92,100,3.0,IT,1612067033
Haines Junction,60.7522,-137.5108,-14.8,76,95,1.14,CA,1612067033
Lipin Bor,60.2622,37.9763,19.09,97,99,10.89,RU,1612067033
Klaksvík,62.2266,-6.589,30.2,80,75,16.11,FO,1612067034
San Quintín,30.4833,-115.95,56.55,77,1,4.7,MX,1612067034
Mitsamiouli,-11.3847,43.2844,82.09,77,98,12.01,KM,1612067034
Te Anau,-45.4167,167.7167,64.72,48,80,7.2,NZ,1612066787
Portland,45.5234,-122.6762,46.99,81,90,11.5,US,1612066533
Dikson,73.5069,80.5464,-33.29,80,0,5.21,RU,1612067034
Sitka,57.0531,-135.33,39.2,56,1,4.61,US,1612067034
La Ronge,55.1001,-105.2842,12.2,79,3,1.66,CA,1612067034
Marsh Harbour,26.5412,-77.0636,67.24,61,100,14.0,BS,1612067034
Kaabong,3.4836,34.1492,66.24,37,47,12.19,UG,1612067035
Kumul,42.8,93.45,28.89,78,0,6.35,CN,1612067035
Ekhabi,53.5102,142.9671,-4.23,89,100,19.55,RU,1612067035
Kawalu,-7.3817,108.2082,89.15,55,97,0.43,ID,1612067035
Anchorage,61.2181,-149.9003,19.4,58,90,5.75,US,1612066980
Shwebo,22.5667,95.7,77.54,32,0,3.38,MM,1612067035
Ganzhou,28.8184,115.4327,58.87,52,57,0.89,CN,1612067035
Shenjiamen,29.9576,122.298,54.01,80,74,14.54,CN,1612067035
Huilong,31.8111,121.655,57.99,63,98,1.99,CN,1612067036
East London,-33.0153,27.9116,68.0,94,20,2.3,ZA,1612067036
Uray,60.1247,64.7758,10.44,96,100,4.18,RU,1612067036
Lobito,-12.3481,13.5456,76.26,79,100,3.2,AO,1612067036
Labuan,5.2767,115.2417,86.0,66,20,5.75,MY,1612067036
Sarāhan,31.5167,77.8,43.02,40,0,5.66,IN,1612067036
Seoul,37.5683,126.9778,46.4,33,75,10.36,KR,1612067018
Bo Rai,12.5728,102.5371,89.01,48,20,9.22,TH,1612067037
Salinas,36.6777,-121.6555,51.8,76,1,3.4,US,1612067037
Koltubanovskiy,52.9407,52.0269,16.65,95,79,6.85,RU,1612067037
Aksu,41.1231,80.2644,27.73,72,46,2.98,CN,1612067037
Alta Floresta,-9.8756,-56.0861,71.02,97,87,2.17,BR,1612067037
Freire,-38.95,-72.6333,57.2,100,0,4.61,CL,1612067037
Diffa,13.3154,12.6113,63.28,29,35,10.13,NE,1612067038
Talnakh,69.4865,88.3972,-31.0,71,0,7.45,RU,1612067038
Doha,25.2867,51.5333,64.4,55,0,10.36,QA,1612066774
Rome,43.2128,-75.4557,6.8,78,1,3.29,US,1612066899
Marzuq,14.4,46.4667,59.36,57,0,2.01,YE,1612066768
Vazante,-17.9869,-46.9078,72.61,72,93,0.43,BR,1612067038
Našice,45.4886,18.0878,39.99,84,100,1.01,HR,1612067038
Syas'stroy,60.1367,32.5691,21.78,98,96,7.49,RU,1612067038
San Felipe,10.3399,-68.7425,70.2,87,84,5.46,VE,1612067039
Latung,5.5,120.8833,81.61,75,98,10.16,PH,1612067039
Urdoma,61.7533,48.5442,19.76,96,100,9.1,RU,1612067039
Nang Rong,14.6377,102.7914,84.99,78,14,3.44,TH,1612067039
Xichang,27.8964,102.2634,50.5,54,84,2.19,CN,1612066813
Lindi,-10.0,39.7167,76.75,93,100,2.95,TZ,1612066758
Bethanien,-26.502,17.1583,68.4,38,0,1.5,NA,1612067039
Ostrovnoy,68.0531,39.5131,16.29,95,100,8.16,RU,1612066835
Mehamn,71.0357,27.8492,24.75,96,100,19.08,NO,1612067040
Smolenka,52.1352,113.4974,-14.8,76,20,4.32,RU,1612067040
Mahébourg,-20.4081,57.7,80.6,78,75,8.05,MU,1612066788
Bonavista,48.6499,-53.1147,30.0,100,99,5.75,CA,1612067040
Poum,-20.2333,164.0167,80.33,68,8,9.08,NC,1612067040
Praia da Vitória,38.7333,-27.0667,62.6,94,75,11.86,PT,1612067040
Tautira,-17.7333,-149.15,75.2,83,75,14.97,PF,1612067041
Sistranda,63.7256,8.834,32.0,86,40,11.5,NO,1612067041
Hearst,49.6835,-83.6665,-5.8,84,2,3.44,CA,1612067041
Meulaboh,4.1363,96.1285,84.42,62,75,1.99,ID,1612066797
Granada,37.25,-3.25,46.99,69,54,7.0,ES,1612067042
Goya,-29.14,-59.2626,73.49,86,53,6.76,AR,1612067042
Arrondissement de Montauban,44.0833,1.5,50.0,93,75,13.8,FR,1612067042
Boyolangu,-8.1181,111.8935,86.23,64,68,0.47,ID,1612067042
Petropavlovka,50.6114,105.3196,-9.15,73,100,9.4,RU,1612067042
Guerrero Negro,27.9769,-114.0611,59.74,69,96,12.3,MX,1612067042
Bara,10.3744,10.7288,64.51,28,0,6.38,NG,1612067043
Ciudad Bolivar,8.1222,-63.5497,76.68,78,20,11.52,VE,1612067043
Yauya,-8.9833,-77.3,48.83,83,79,4.12,PE,1612067043
Sechura,-5.5569,-80.8222,77.22,62,31,13.87,PE,1612067043
Ulladulla,-35.35,150.4667,70.0,88,90,9.22,AU,1612067043
Farias Brito,-6.9306,-39.5656,73.4,83,75,1.81,BR,1612067043
Yulara,-25.2406,130.9889,96.8,17,40,17.27,AU,1612066777
Tuktoyaktuk,69.4541,-133.0374,-34.6,74,20,1.07,CA,1612067043
Mujiayingzi,42.1167,118.7833,26.76,90,100,5.5,CN,1612067044
Knysna,-34.0363,23.0471,60.8,94,0,2.3,ZA,1612067044
Hatta,24.1167,79.6,63.3,27,0,3.42,IN,1612067044
Matara,5.9485,80.5353,84.04,65,5,3.15,LK,1612067044
Isabela,6.7085,121.9711,87.8,66,40,10.36,PH,1612067045
Laguna,38.421,-121.4238,50.0,76,1,7.29,US,1612067045
Riihimäki,60.7377,24.7773,19.99,93,93,4.63,FI,1612067045
Guiyang,26.5833,106.7167,41.0,100,90,6.71,CN,1612067045
Karratha,-20.7377,116.8463,97.0,38,100,5.59,AU,1612067045
Saint-François,46.4154,3.9054,46.0,93,90,2.3,FR,1612067045
Forsytheganj,52.6333,29.7333,22.75,98,100,9.19,BY,1612067045
Kupang,-10.1667,123.5833,84.2,84,90,20.71,ID,1612067043
Mayor Pablo Lagerenza,-19.9309,-60.7718,81.46,66,24,10.4,PY,1612067046
Rosario,-32.9468,-60.6393,64.99,72,90,10.36,AR,1612067046
Lingao,19.9103,109.6859,72.09,68,18,17.05,CN,1612067046
Martapura,-3.4167,114.85,86.0,74,40,3.44,ID,1612067046
Belmonte,-15.8631,-38.8828,73.4,88,40,3.44,BR,1612067046
Katsuura,35.1333,140.3,51.8,37,20,14.97,JP,1612067046
Mugur-Aksy,50.35,90.5,9.05,80,0,7.23,RU,1612067046
Arrondissement de Vierzon,47.2101,2.0625,48.2,100,90,4.63,FR,1612067047
Kieta,-6.2167,155.6333,85.06,67,100,16.73,PG,1612067047
Fairbanks,64.8378,-147.7164,-2.2,77,90,0.74,US,1612066873
Ambilobe,-13.2,49.05,75.76,88,0,2.06,MG,1612067047
Jasper,37.2001,-94.3502,45.0,93,90,16.11,US,1612067047
Hirara,24.8,125.2833,71.6,49,40,14.97,JP,1612067047
Northam,51.0333,-4.2167,39.0,87,61,4.0,GB,1612067047
Kautokeino,69.0125,23.0412,15.6,95,100,12.33,NO,1612067048
Abbeville,50.1,1.8333,36.0,72,89,12.28,FR,1612067048
Suntar,62.1444,117.6319,-32.42,81,100,2.84,RU,1612067048
Molde,62.7375,7.1591,30.2,100,75,7.49,NO,1612067048
Oyama,36.3,139.8,54.0,22,20,20.71,JP,1612067048
Hobyo,5.3505,48.5268,76.37,69,69,15.99,SO,1612067048
Qandala,11.472,49.8728,70.9,65,21,3.76,SO,1612067048
Krasnopavlivka,49.1372,36.3272,38.41,94,100,17.63,UA,1612067049
Richards Bay,-28.783,32.0377,74.17,94,100,4.0,ZA,1612066763
Shimoda,34.6667,138.95,51.8,46,20,9.22,JP,1612067049
Voznesen'ye,61.0106,35.4781,22.03,98,100,6.06,RU,1612067049
Adrar,20.5022,-10.0711,62.02,28,33,6.64,MR,1612067049
Velyka Lepetykha,47.1757,33.9436,41.77,91,100,15.77,UA,1612067049
Maragogi,-9.0122,-35.2225,77.58,82,100,7.14,BR,1612066822
Saint-Joseph,-21.3667,55.6167,86.0,54,0,3.44,RE,1612067049
Ugoofaaru,5.6667,73.0,82.17,68,56,8.97,MV,1612067049
Iwanai,42.9744,140.5089,21.38,92,100,18.45,JP,1612067050
Brus Laguna,15.75,-84.4833,70.59,97,94,2.57,HN,1612067050
Belen,36.4891,36.2233,41.0,93,75,20.71,TR,1612067050
Porto Belo,-27.1578,-48.5531,79.0,94,0,1.14,BR,1612067050
Galveston,29.3669,-94.9669,68.0,88,90,9.22,US,1612067050
Santa Rosa,14.3122,121.1114,86.0,54,40,10.36,PH,1612067050
Águas Vermelhas,-15.7472,-41.46,62.65,95,11,2.53,BR,1612067050
Caluquembe,-13.7833,14.6833,58.44,98,100,4.81,AO,1612067050
Ventspils,57.3894,21.5606,30.2,74,90,14.97,LV,1612067051
