City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.5322,20.0403,48.2,81,3,2.26,ZA,1611806044
Adrar,20.5022,-10.0711,61.72,29,0,10.22,MR,1611806044
Guerrero Negro,27.9769,-114.0611,58.77,62,99,13.82,MX,1611805798
Poltavka,54.3663,71.7632,14.54,97,54,11.03,RU,1611806044
Chicama,-7.8447,-79.1469,71.74,75,100,6.91,PE,1611806045
Port Lincoln,-34.7333,135.8667,65.46,81,100,9.46,AU,1611806045
Sitka,57.0531,-135.33,26.6,54,1,5.75,US,1611806045
Thompson,55.7435,-97.8558,-25.6,75,1,2.98,CA,1611806045
Puerto Ayora,-0.7393,-90.3518,75.99,93,29,5.99,EC,1611806046
Bambous Virieux,-20.3428,57.7575,84.99,88,20,2.3,MU,1611806046
Pisco,-13.7,-76.2167,70.0,73,0,9.22,PE,1611806046
Sola,-13.8833,167.55,84.2,84,75,5.75,VU,1611806046
Jesús Carranza,17.4333,-95.0333,72.16,90,41,12.19,MX,1611806046
Qaanaaq,77.484,-69.3632,-14.91,66,0,7.96,GL,1611806047
Lüderitz,-26.6481,15.1594,64.96,58,0,23.06,NA,1611805967
Steamboat Springs,40.485,-106.8317,23.0,63,90,2.1,US,1611806047
Zhicheng,30.2956,111.5047,54.28,39,0,7.94,CN,1611806048
Yulara,-25.2406,130.9889,89.6,43,23,10.36,AU,1611806048
Kapaa,22.0752,-159.319,75.2,78,75,21.85,US,1611806048
Vaini,-21.2,-175.2,73.4,83,90,4.61,TO,1611806048
San Patricio,28.017,-97.5169,62.6,34,75,13.8,US,1611806049
Ilulissat,69.2167,-51.1,-0.4,60,0,5.75,GL,1611806049
Tateyama,34.9833,139.8667,44.6,81,75,11.5,JP,1611806049
New Norfolk,-42.7826,147.0587,70.0,37,0,3.0,AU,1611806049
Dikson,73.5069,80.5464,-26.57,83,100,8.99,RU,1611806050
Kirakira,-10.4544,161.9205,84.4,77,95,15.39,SB,1611806050
Nagornskiy,58.7731,57.5451,21.0,82,100,3.0,RU,1611806050
Hobart,-42.8794,147.3294,70.0,48,40,12.66,AU,1611806051
Hithadhoo,-0.6,73.0833,81.75,78,99,14.58,MV,1611806051
Panabá,21.2833,-88.2667,71.91,93,0,5.97,MX,1611806051
Vila Velha,-20.3297,-40.2925,77.0,78,0,5.75,BR,1611806051
Ketchikan,55.3422,-131.6461,30.2,64,1,10.36,US,1611806052
Paamiut,61.994,-49.6678,30.92,84,76,8.63,GL,1611806052
Longyearbyen,78.2186,15.6401,1.4,60,20,18.41,SJ,1611806052
San Andrés,12.5847,-81.7006,80.6,78,75,12.66,CO,1611806053
Tasiilaq,65.6145,-37.6368,23.0,42,90,17.27,GL,1611806053
Barrow,71.2906,-156.7887,-7.6,71,90,3.44,US,1611806053
Dingle,10.9995,122.6711,82.11,80,100,14.07,PH,1611806053
Bowen,-20.0167,148.2333,87.8,62,75,18.41,AU,1611806054
Saint-Augustin,51.226,-58.6502,9.81,91,0,12.75,CA,1611806054
Antofagasta,-23.65,-70.4,66.2,77,40,9.22,CL,1611806054
Mataura,-46.1927,168.8643,55.0,69,90,17.0,NZ,1611806054
Xining,36.6167,101.7667,20.44,60,8,3.53,CN,1611806018
Saint-Philippe,-21.3585,55.7679,82.4,54,0,6.91,RE,1611806055
Shirokiy,49.758,129.523,-12.86,86,45,3.83,RU,1611806055
Ushuaia,-54.8,-68.3,39.2,81,75,10.36,AR,1611805884
Virginia Beach,36.8529,-75.978,42.01,69,37,1.99,US,1611805915
Kurumkan,54.3,110.3,-16.94,80,100,1.43,RU,1611806056
Ponta do Sol,32.6667,-17.1,60.01,78,55,1.01,PT,1611806056
Mozarlândia,-14.7447,-50.5706,73.67,82,99,0.89,BR,1611806056
Clyde River,70.4692,-68.5914,-16.6,76,1,3.44,CA,1611806056
Ancud,-41.8697,-73.8203,53.01,93,20,2.3,CL,1611806057
Nishihara,26.1842,127.7558,66.2,59,75,23.02,JP,1611806057
Avarua,-21.2078,-159.775,86.0,66,20,16.11,CK,1611806057
Tessalit,20.1986,1.0114,60.6,27,0,7.63,ML,1611806057
Port Elizabeth,-33.918,25.5701,57.2,88,0,4.61,ZA,1611806058
Charters Towers,-20.1,146.2667,87.58,45,64,9.31,AU,1611806058
Mahébourg,-20.4081,57.7,75.2,88,20,2.3,MU,1611806058
Kfar Vradim,32.9939,35.2779,57.99,67,97,8.19,IL,1611806058
Poronaysk,49.2167,143.1167,10.09,86,94,7.7,RU,1611806058
Mandiana,10.6333,-8.6833,65.93,24,0,5.06,GN,1611806058
Yar-Sale,66.8333,70.8333,-32.13,83,100,9.84,RU,1611806059
Mar del Plata,-38.0023,-57.5575,66.2,63,75,5.75,AR,1611806059
Sambava,-14.2667,50.1667,77.7,86,5,3.78,MG,1611806059
Muros,42.7762,-9.0603,57.99,95,100,7.0,ES,1611806059
Abu Kamal,34.4506,40.9171,51.94,49,100,7.94,SY,1611806060
Port Hardy,50.6996,-127.4199,37.4,93,90,14.97,CA,1611805962
Genhe,50.7833,121.5167,-17.23,78,33,3.62,CN,1611806060
Sobolevo,54.4299,31.8996,25.18,98,100,3.18,RU,1611806060
Khatanga,71.9667,102.5,-32.39,79,0,7.18,RU,1611806061
Esna,25.2934,32.554,48.2,46,0,9.1,EG,1611806061
Palora,-1.7,-77.9333,64.99,95,4,1.97,EC,1611806061
Praia,14.9215,-23.5087,68.0,83,0,13.8,CV,1611806061
Champerico,14.3,-91.9167,66.0,94,33,2.89,GT,1611806062
Chokurdakh,70.6333,147.9167,-14.28,90,100,9.62,RU,1611806062
Katsuura,35.1333,140.3,48.2,81,75,11.5,JP,1611805974
George Town,5.4112,100.3354,86.0,66,20,3.44,MY,1611806062
Vernon,50.2581,-119.2691,30.99,93,97,1.14,CA,1611805887
Ostrovnoy,68.0531,39.5131,11.37,94,100,19.62,RU,1611806063
Muramatsu,37.6833,139.1833,39.99,52,75,3.44,JP,1611806063
Burns Lake,54.2331,-125.7533,3.2,85,99,1.14,CA,1611806063
Cabo San Lucas,22.8909,-109.9124,62.6,77,1,3.44,MX,1611805868
Gigmoto,13.7796,124.39,79.07,82,100,14.07,PH,1611806064
Mtwara,-10.2667,40.1833,79.21,81,30,7.23,TZ,1611806064
Alice Springs,-23.7,133.8833,93.99,42,0,6.91,AU,1611805946
Powell River,49.8496,-124.5361,37.4,100,75,2.3,CA,1611806064
Naze,28.3667,129.4833,64.4,63,75,14.97,JP,1611805950
Saldanha,-33.0117,17.9442,57.2,77,0,5.75,ZA,1611806065
Lucea,18.451,-78.1736,78.8,78,20,11.5,JM,1611806065
Rūdbār,30.15,62.6,49.28,36,0,3.51,AF,1611806066
Nikolskoye,59.7035,30.7861,33.01,93,75,2.24,RU,1611806066
Sioni,41.9895,45.0239,35.6,64,0,2.3,GE,1611806066
Nicoya,10.1483,-85.452,80.6,57,0,12.66,CR,1611806066
Esperance,-33.8667,121.9,71.6,53,90,13.8,AU,1611806067
La Roda,39.2167,-2.15,45.0,100,90,2.3,ES,1611805832
Avera,33.194,-82.5271,55.4,72,75,13.8,US,1611806068
Peniche,39.3558,-9.3811,57.99,95,97,8.99,PT,1611805998
Santiago del Estero,-27.7951,-64.2615,78.57,51,38,8.48,AR,1611805904
Lorengau,-2.0226,147.2712,82.76,80,98,8.61,PG,1611806069
Bairnsdale,-37.8333,147.6167,70.0,65,95,5.99,AU,1611806069
Pirenópolis,-15.8525,-48.9592,68.0,94,20,4.61,BR,1611806069
Chute-aux-Outardes,49.1168,-68.399,24.8,86,90,4.61,CA,1611806070
Bathsheba,13.2167,-59.5167,78.8,69,40,18.41,BB,1611806070
Jijiga,9.35,42.8,56.07,39,0,4.43,ET,1611806070
Sur,22.5667,59.5289,69.44,62,0,11.61,OM,1611806000
Sabang,5.8933,95.3214,81.99,76,89,15.46,ID,1611806071
Lagoa,39.05,-27.9833,59.67,79,25,22.32,PT,1611806072
Sisimiut,66.9395,-53.6735,8.42,78,0,11.16,GL,1611806072
Nioro,13.35,-15.75,68.07,19,0,4.5,GM,1611806072
Dābhol,17.6,73.1667,76.46,46,3,1.9,IN,1611806072
Yerbogachën,61.2767,108.0108,-34.49,81,88,6.8,RU,1611806073
Kavaratti,10.5669,72.642,80.6,70,61,13.78,IN,1611806073
Ridgecrest,35.6225,-117.6709,41.0,75,75,3.27,US,1611806073
Faanui,-16.4833,-151.75,81.41,71,37,10.78,PF,1611806073
Esim,4.8699,-2.2405,77.02,91,0,6.2,GH,1611806074
Yaan,7.3833,8.5667,73.58,89,71,6.11,NG,1611806074
Tocopilla,-22.092,-70.1979,68.4,67,11,3.53,CL,1611806075
Los Llanos de Aridane,28.6585,-17.9182,64.0,88,90,8.05,ES,1611806075
Gorontalo,0.5412,123.0595,89.98,53,97,8.72,ID,1611806075
Havelock,34.8791,-76.9013,43.0,87,90,14.97,US,1611806075
Melfi,40.9965,15.6514,32.0,40,0,5.75,IT,1611806076
Kenai,60.5544,-151.2583,16.0,79,90,8.05,US,1611806076
Whitehorse,60.7161,-135.0538,-18.0,76,1,5.39,CA,1611806076
Sand,50.0,10.6,34.0,99,100,6.49,DE,1611806076
Crestview,30.7621,-86.5705,55.4,71,1,9.22,US,1611805945
Lompoc,34.6391,-120.4579,53.6,82,90,17.27,US,1611806077
Luganville,-15.5333,167.1667,78.28,86,100,5.84,VU,1611806077
Waipawa,-41.4122,175.5153,66.99,82,90,13.8,NZ,1611806077
Saint George,37.1041,-113.5841,41.0,56,75,3.44,US,1611806077
Alghero,40.5589,8.3181,57.2,82,20,6.91,IT,1611806078
Mwanza,-2.5167,32.9,68.23,74,3,6.22,TZ,1611806078
Tabas,33.5959,56.9244,32.0,34,0,2.3,IR,1611806078
Kahului,20.8947,-156.47,77.0,61,40,24.16,US,1611806030
Kamaishi,39.2667,141.8833,32.0,64,0,5.75,JP,1611806035
Viedma,-40.8135,-62.9967,60.3,66,17,5.97,AR,1611806079
Huarmey,-10.0681,-78.1522,70.74,83,100,8.3,PE,1611806079
Mogadishu,2.0371,45.3438,75.88,83,100,16.53,SO,1611806079
Butembo,0.15,29.2833,57.65,90,73,2.37,CD,1611806079
San Luis,-33.295,-66.3356,74.37,51,33,5.26,AR,1611805963
Mandurah,-32.55,115.7,78.01,51,0,8.77,AU,1611806019
Belyy Yar,53.6039,91.3903,26.6,59,0,8.95,RU,1611806080
Port-Gentil,-0.7193,8.7815,78.24,84,100,8.3,GA,1611806080
Jacala,21.0167,-99.1833,47.23,100,100,4.63,MX,1611806080
Teknāf,20.8624,92.3058,73.96,39,0,2.91,BD,1611806080
Pevek,69.7008,170.3133,-22.36,88,98,3.96,RU,1611806080
Bukachacha,52.9833,116.9167,-11.4,77,0,1.81,RU,1611806080
Russell,32.3502,-85.1999,53.6,66,40,14.97,US,1611806081
Itarema,-2.9248,-39.9167,78.37,83,51,9.6,BR,1611806081
Salalah,17.0151,54.0924,66.2,37,0,1.14,OM,1611806081
Río Gallegos,-51.6226,-69.2181,46.4,61,75,11.5,AR,1611805886
Chernyshevskiy,63.0128,112.4714,-38.87,82,49,2.1,RU,1611806082
Shingū,33.7333,135.9833,55.4,67,40,4.61,JP,1611806082
Carnarvon,-24.8667,113.6333,82.4,47,0,19.57,AU,1611806082
Sri Aman,1.2376,111.4621,80.6,83,75,4.61,MY,1611806083
Hammerfest,70.6634,23.6821,23.0,63,100,13.8,NO,1611806020
Rocha,-34.4833,-54.3333,59.63,88,0,1.88,UY,1611806083
Tuatapere,-46.1333,167.6833,55.0,69,86,17.0,NZ,1611806083
Chui,-33.6971,-53.4616,64.72,89,6,2.8,UY,1611806084
Vanimo,-2.6741,141.3028,83.26,80,96,12.1,PG,1611806084
Bethel,41.3712,-73.414,28.4,69,90,9.22,US,1611806084
Conde,-7.2597,-34.9075,78.8,83,20,6.91,BR,1611805983
Rāpar,23.5667,70.6333,66.02,35,0,10.45,IN,1611805870
Grootfontein,-19.5667,18.1167,68.0,83,75,3.44,NA,1611806085
Korla,41.7597,86.1469,27.7,77,0,2.59,CN,1611806086
Guéret,46.1667,1.8667,50.0,100,90,11.5,FR,1611806086
Malakal,9.5334,31.6605,76.42,22,33,6.85,SS,1611806086
Jalu,29.0331,21.5482,46.54,76,5,8.08,LY,1611806086
Pskov,57.8136,28.3496,32.0,100,90,2.51,RU,1611806086
São Sebastião,-23.76,-45.4097,77.72,78,100,4.65,BR,1611806087
Arraial do Cabo,-22.9661,-42.0278,76.62,83,100,25.08,BR,1611805870
Beringovskiy,63.05,179.3167,15.94,96,100,22.21,RU,1611806087
Manakara,-22.1333,48.0167,76.89,92,30,5.61,MG,1611806087
Muisne,0.6,-80.0333,76.89,86,38,1.68,EC,1611806088
Yangi Marg`ilon,40.4272,71.7189,26.6,74,0,6.91,UZ,1611806088
Kamenka,51.3223,42.7678,30.0,93,100,13.31,RU,1611806088
Porto-Novo,6.4965,2.6036,77.85,89,52,6.42,BJ,1611806007
Laguna,38.421,-121.4238,48.2,87,90,10.36,US,1611805875
Srandakan,-7.9386,110.2506,83.61,74,98,12.3,ID,1611806089
Baijiantan,45.6333,85.1833,7.57,87,14,2.15,CN,1611806089
College,64.8569,-147.8028,-20.2,76,20,3.44,US,1611805905
Saint Anthony,45.0205,-93.218,10.4,61,90,3.44,US,1611806090
Guadalupe y Calvo,26.1,-106.9667,41.29,60,84,6.73,MX,1611806090
Carstairs,51.5668,-114.102,5.0,100,100,6.91,CA,1611806090
Sulina,45.1559,29.6536,31.59,98,100,19.98,RO,1611806090
Zhigansk,66.7697,123.3711,-47.02,76,77,6.11,RU,1611806091
Diego de Almagro,-26.3667,-70.05,58.8,55,0,1.81,CL,1611805888
Salinópolis,-0.6136,-47.3561,78.96,83,100,7.2,BR,1611806091
Koper,45.5469,13.7294,34.0,86,17,8.05,SI,1611806092
Brus Laguna,15.75,-84.4833,71.44,94,0,1.92,HN,1611806092
Kununurra,-15.7667,128.7333,86.0,79,75,9.22,AU,1611806037
Sørland,67.667,12.6934,32.56,89,0,15.68,NO,1611806092
East London,-33.0153,27.9116,62.6,94,75,9.22,ZA,1611806093
Nagato,34.3833,131.2,54.0,66,75,6.91,JP,1611806093
Kabala,9.5833,-11.55,63.9,92,0,1.99,SL,1611806093
Banikoara,11.2985,2.4386,68.68,21,31,6.29,BJ,1611806093
Palauig,15.435,119.9045,81.64,71,46,5.01,PH,1611806094
Mayo,38.8876,-76.5119,36.0,64,75,12.66,US,1611806094
Tromsø,69.6496,18.957,24.8,50,75,9.22,NO,1611806094
Baoding,38.8511,115.4903,32.16,45,0,17.43,CN,1611806094
Santa Cruz del Sur,20.7147,-77.9956,72.75,80,0,9.26,CU,1611806095
Waingapu,-9.6567,120.2641,86.09,71,94,15.03,ID,1611806095
North Bend,43.4065,-124.2243,45.0,96,73,1.01,US,1611806095
Lebu,-37.6167,-73.65,54.41,89,96,3.42,CL,1611806095
Mehamn,71.0357,27.8492,24.01,92,100,17.54,NO,1611806096
Solnechnyy,50.7214,136.6319,-3.6,84,99,3.83,RU,1611806096
Copiapó,-27.3667,-70.3333,59.0,94,90,5.75,CL,1611805891
Henties Bay,-22.116,14.2845,68.0,86,2,4.92,NA,1611806096
Karaton,-6.3424,106.1045,80.6,78,75,10.36,ID,1611806097
Ciudad Bolivar,8.1222,-63.5497,76.26,69,100,11.83,VE,1611806097
Cherskiy,68.75,161.3,-25.65,86,100,4.9,RU,1611806097
Araouane,18.9048,-3.5265,63.46,28,0,12.68,ML,1611806098
Aasiaat,68.7098,-52.8699,2.28,92,68,3.18,GL,1611806098
Hay River,60.8156,-115.7999,-18.4,76,100,2.3,CA,1611805989
Klaksvík,62.2266,-6.589,24.8,68,94,1.14,FO,1611806098
Gagra,43.3283,40.2239,64.4,27,75,13.42,GE,1611806099
Touros,-5.1989,-35.4608,78.8,78,40,6.91,BR,1611806099
Clarence Town,-32.5833,151.7833,70.0,100,90,21.85,AU,1611806099
Ribeira Grande,38.5167,-28.7,60.73,78,61,19.24,PT,1611806021
Santa Isabel,-23.3156,-46.2214,79.0,83,0,1.14,BR,1611806100
Souillac,-20.5167,57.5167,75.2,88,20,2.3,MU,1611806061
Port Hawkesbury,45.6169,-61.3485,27.0,80,90,10.36,CA,1611806100
Cap Malheureux,-19.9842,57.6142,84.99,68,14,3.0,MU,1611806101
São Filipe,14.8961,-24.4956,73.02,67,47,6.08,CV,1611806101
Kipushi,-11.7667,27.2333,61.77,96,99,3.22,CD,1611806101
Tahoua,14.8888,5.2692,66.2,16,0,6.91,NE,1611805999
Norman Wells,65.282,-126.8329,-20.2,76,40,4.61,CA,1611806101
Meulaboh,4.1363,96.1285,85.51,60,93,0.34,ID,1611806102
Karpinsk,59.7654,60.0085,19.29,95,100,7.2,RU,1611806102
Tura,25.5198,90.2201,73.99,38,0,0.69,IN,1611805982
Geraldton,-28.7667,114.6,82.4,34,0,20.71,AU,1611806102
Kipini,-2.5257,40.5262,77.0,88,75,3.8,KE,1611806102
Santo Antônio do Içá,-3.1022,-67.9397,74.05,95,99,1.05,BR,1611806103
Tanakpur,29.0833,80.1167,64.0,29,0,0.58,IN,1611806103
Linqiong,30.4159,103.4609,57.0,81,4,2.24,CN,1611806103
Nara,34.6851,135.8049,55.0,57,75,1.14,JP,1611806103
Fort Abbas,29.1925,72.8536,59.36,29,0,2.24,PK,1611806104
Baturité,-4.3286,-38.8847,74.44,89,53,3.38,BR,1611806104
Ahipara,-35.1667,173.1667,70.61,70,47,11.61,NZ,1611806104
Quatre Cocos,-20.2078,57.7625,84.99,88,20,2.3,MU,1611805990
Jumla,29.2747,82.1838,48.54,23,0,4.5,NP,1611806104
Saint Paul Harbor,57.79,-152.4072,33.8,80,90,7.99,US,1611806105
Upernavik,72.7868,-56.1549,-6.18,91,91,6.71,GL,1611806105
Chifeng,42.2683,118.9636,2.73,78,0,19.26,CN,1611806105
Hong Kong,22.2855,114.1577,69.01,68,2,11.59,HK,1611805955
Havre-St-Pierre,50.2334,-63.5986,14.0,67,90,11.5,CA,1611806106
Tilichiki,60.4667,166.1,-7.4,91,84,5.68,RU,1611806012
Lavrentiya,65.5833,-171.0,-0.69,88,97,17.49,RU,1611806106
Kavieng,-2.5744,150.7967,85.12,73,100,10.54,PG,1611806107
Abhā,18.2164,42.5053,57.2,41,0,9.22,SA,1611806107
Yashkul',46.1711,45.3435,35.47,85,100,15.88,RU,1611806108
Moengo,5.6167,-54.4,71.06,93,64,2.64,SR,1611806108
Pimentel,-6.8367,-79.9342,71.62,83,22,12.12,PE,1611805874
Inuvik,68.3499,-133.7218,-20.2,76,100,4.61,CA,1611806109
Narsaq,60.9167,-46.05,39.2,33,75,19.57,GL,1611806109
Nanortalik,60.1432,-45.2371,24.96,93,100,4.23,GL,1611806109
Kruisfontein,-34.0033,24.7314,55.99,93,36,2.82,ZA,1611806110
High Level,58.5169,-117.136,-13.0,77,40,4.61,CA,1611806110
Abbotsford,49.058,-122.2526,37.4,81,75,10.36,CA,1611806011
Banes,20.9625,-75.7186,73.4,94,40,6.91,CU,1611806110
Shangrao,28.4532,117.9686,53.33,70,73,4.07,CN,1611806110
Lakatoro,-16.0999,167.4164,80.67,81,100,10.2,VU,1611806111
Takoradze,4.8845,-1.7554,77.05,91,1,6.26,GH,1611806111
Watsa,3.0372,29.5355,65.71,68,67,3.31,CD,1611806111
Anadyr,64.75,177.4833,12.2,79,75,13.42,RU,1611806111
Iqaluit,63.7506,-68.5145,-2.0,65,1,19.57,CA,1611806112
Whyalla,-33.0333,137.5833,84.2,39,40,10.36,AU,1611806112
Orange,33.7,-117.7675,55.4,67,75,4.61,US,1611806112
Carutapera,-1.195,-46.02,76.96,89,100,3.96,BR,1611806114
Castro,-24.7911,-50.0119,66.7,89,100,4.05,BR,1611805966
Fukuechō,32.6881,128.8419,57.2,62,75,6.91,JP,1611806114
Yartsevo,55.0667,32.6964,23.59,98,100,2.57,RU,1611806114
Bulgan,48.8125,103.5347,13.05,87,100,5.61,MN,1611806063
Nizhniy Tsasuchey,50.5167,115.1333,-9.67,79,0,7.72,RU,1611806115
Caicedo,6.4051,-75.9826,60.8,100,40,2.3,CO,1611806115
Makkah al Mukarramah,21.4267,39.8261,70.07,85,7,2.46,SA,1611806115
Ubari,26.5921,12.7805,40.15,66,0,0.6,LY,1611806116
Saint-Joseph,-21.3667,55.6167,82.99,54,0,6.91,RE,1611806116
Shache,38.4167,77.2406,30.33,77,0,2.26,CN,1611806116
Soligalich,59.0778,42.2864,20.68,98,74,4.68,RU,1611806117
La Ronge,55.1001,-105.2842,-4.0,71,44,8.05,CA,1611806117
Fallon,39.4735,-118.7774,35.6,75,90,21.85,US,1611806117
Pilar,-9.5972,-35.9567,71.6,100,90,3.44,BR,1611806117
Celestún,20.8667,-90.4,76.33,85,20,14.97,MX,1611806118
Brae,60.3964,-1.353,30.2,93,59,5.75,GB,1611806118
Byron Bay,-28.65,153.6167,84.2,61,40,13.8,AU,1611806026
Dhidhdhoo,6.8833,73.1,80.78,67,0,12.19,MV,1611806118
Berlevåg,70.8578,29.0864,24.71,92,100,19.55,NO,1611806118
Tahara,34.6667,137.2667,48.2,61,75,3.44,JP,1611806119
Hokitika,-42.7167,170.9667,58.66,63,18,19.22,NZ,1611805977
Ishigaki,24.3448,124.1572,68.0,68,75,9.22,JP,1611806119
Portland,45.5234,-122.6762,42.01,92,51,4.29,US,1611805793
Grakhovo,56.0502,51.9676,21.2,68,0,15.66,RU,1611806120
Torrington,41.8007,-73.1212,28.0,88,20,4.0,US,1611806120
Zaranj,30.9667,61.8833,24.8,42,0,2.01,AF,1611806096
Dakar,14.6937,-17.4441,64.4,82,0,9.22,SN,1611806120
Poum,-20.2333,164.0167,80.69,76,100,10.04,NC,1611806121
Zyryanskoye,56.8306,86.6258,-16.02,85,100,4.97,RU,1611806121
Isangel,-19.55,169.2667,86.0,70,75,9.22,VU,1611806121
Pangnirtung,66.1451,-65.7125,5.02,67,0,3.56,CA,1611806121
Brusque,-27.0981,-48.9175,78.8,78,0,4.61,BR,1611806122
Shakawe,-18.3667,21.85,66.54,92,100,1.45,BW,1611806122
Concarneau,47.875,-3.9225,53.6,100,90,19.57,FR,1611806122
Igarka,67.4667,86.5833,-33.48,73,43,3.6,RU,1611806122
Coquimbo,-29.9533,-71.3436,59.0,88,0,3.44,CL,1611806122
Alpena,45.0617,-83.4327,17.6,73,90,5.75,US,1611806123
Lugovoy,42.9472,72.7644,18.68,85,0,2.77,KZ,1611806123
Tsuruga,35.6455,136.0558,45.0,77,98,1.01,JP,1611806123
Mikhaylovsk,45.1283,42.0256,32.0,93,0,6.71,RU,1611806123
Verāval,20.9,70.3667,68.86,28,0,12.95,IN,1611806123
Soyo,-6.1349,12.3689,79.11,83,100,2.77,AO,1611806123
Biak,-0.9131,122.8766,86.72,59,93,7.61,ID,1611806124
Manavālakurichi,8.1333,77.3,82.4,47,20,3.44,IN,1611806124
Radomsko,51.0671,19.4448,26.01,91,35,6.35,PL,1611806124
Cayenne,4.9333,-52.3333,78.8,78,0,8.05,GF,1611806124
Constitución,-35.3333,-72.4167,54.75,84,83,11.68,CL,1611805856
Kieta,-6.2167,155.6333,87.19,68,100,12.88,PG,1611806125
Nouadhibou,20.931,-17.0347,62.6,77,0,12.66,MR,1611806125
Flinders,-34.5833,150.8552,73.0,63,97,5.01,AU,1611806085
Perth,-31.9333,115.8333,82.99,38,20,14.97,AU,1611805913
Masterton,-40.9597,175.6575,68.0,72,66,4.0,NZ,1611806126
Katobu,-4.9408,122.5276,86.95,63,98,7.45,ID,1611806126
Tutóia,-2.7619,-42.2744,77.43,87,100,6.08,BR,1611806126
Mossamedes,-15.1961,12.1522,71.91,82,78,6.71,AO,1611806126
Susanville,40.4163,-120.653,33.8,93,90,3.44,US,1611806127
Vestmannaeyjar,63.4427,-20.2734,32.52,90,61,18.61,IS,1611806127
Srednekolymsk,67.45,153.6833,-24.0,85,100,11.52,RU,1611806127
Egvekinot,66.3167,-179.1667,-13.67,86,100,23.35,RU,1611806127
Xam Nua,20.4197,104.0439,62.24,80,100,2.98,LA,1611806128
Tarakan,3.3,117.6333,82.4,83,90,5.75,ID,1611806128
Lingao,19.9103,109.6859,71.46,64,5,10.4,CN,1611806129
Awka,6.2101,7.0741,75.6,84,60,3.22,NG,1611806129
Kananga,-5.8958,22.4178,65.19,98,100,2.35,CD,1611806129
Morgan City,29.6994,-91.2068,55.4,67,1,8.05,US,1611806129
Ābādān,30.3392,48.3043,53.6,76,100,4.61,IR,1611806130
Verkhnyaya Inta,65.9811,60.3094,-2.31,92,100,15.82,RU,1611806130
Burnie,-41.0667,145.9167,61.0,54,75,14.0,AU,1611805912
Goderich,43.7501,-81.7165,23.0,74,96,16.11,CA,1611806131
Rocky Mountain House,52.3668,-114.9188,3.2,85,100,2.3,CA,1611806131
Rafsanjān,30.4067,55.9939,46.13,38,3,7.74,IR,1611806131
Tumsar,21.3833,79.7333,73.29,46,29,6.49,IN,1611806132
Kalmunai,7.4167,81.8167,79.61,76,55,12.91,LK,1611806132
Novobohdanivka,47.0819,35.3272,41.02,84,97,14.7,UA,1611806132
Tiksi,71.6872,128.8694,-32.89,72,100,2.19,RU,1611806132
